url,crawl_status,status_code,content_type,h1,page_title,meta_description,canonical_tag,robots_txt,redirect_url,meta_robots,x_robots_tag
https://www.stock2own.com/,canonicalised,200,text/html; charset=utf-8,,"Stock Analysis, Value Price, Price Charts, AI Signals | Stock2Own.com",,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/StockMarket/News,canonicalised,200,text/html; charset=utf-8,Stock Market: News,"Stock Market News: MarketWatch, Wall Street Journal, Benzinga and more | stock2own.com",,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/About/Tutorials,canonicalised,200,text/html; charset=utf-8,Stock2Own Tutorials,Stock2Own Video Tutorials: learn how to analyze stocks,,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/StockMarket/Gauges/Dashboard,canonicalised,200,text/html; charset=utf-8,Stock Market Gauges: Dashboard,"Stock Market Dashboard - Treasury Yield Curve, Major world and US Indexes charts, VIX chart, Advance-Decline Lines",,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/StockMarket/Theory/TechnicalAnalysis,canonicalised,200,text/html; charset=utf-8,Stock Market: Technical Analysis,"Learning Technical Analysis - moving average, stochastic, relative strength (RSI), macd | Stock2Own.com",,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/StockMarket/Theory,canonicalised,200,text/html; charset=utf-8,Stock Market: Theory,"Stock Market Theory: Value Research and Analysis, Investing Definitions, Stock Analysis.",,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/About/FAQ,canonicalised,200,text/html; charset=utf-8,Frequently Asked Questions,Stock2Own.com: FAQ,,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/About/CookiePolicy,canonicalised,200,text/html; charset=utf-8,Stock2Own.com - Cookie Policy | This statement discloses the way stock2own.com uses cookies.,Stock2Own.com: Cookie Policy,,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/StockMarket/Calendar,canonicalised,200,text/html; charset=utf-8,Stock Market: Economic Calendar,Economic Calendar: upcoming stock earning release dates and all the important events and Economic Indicators.,,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/StockAnalysis/,canonicalised,200,text/html; charset=utf-8,Stock Analyzer,"S2O Stock Analyzer: stock analysis, price charts in seconds",,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/About/TermsOfUse,canonicalised,200,text/html; charset=utf-8,Stock2Own.com - Terms of Use | This statement discloses the terms of use of stock2own.com.,Stock2Own.com: Terms of Use,,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/StockMarket/Theory/FundamentalAnalysis,canonicalised,200,text/html; charset=utf-8,Stock Market: Fundamental Analysis,"Fundamental Analysis: Balance Sheet, Income Statement, Cash Flow Statement, Financial Ratios.",,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/StockAnalysis/StockLookup,canonicalised,200,text/html; charset=utf-8,Stock and Index Lookup,"Stock Lookup: search stock, index or ETF by name of symbol",,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/About/News,canonicalised,200,text/html; charset=utf-8,S2O News,Stock2Own.com: News,,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/About/PrivacyPolicy,canonicalised,200,text/html; charset=utf-8,Stock2Own.com - Privacy Policy | Privacy Policy,Stock2Own.com: Privacy Policy,,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/StockAnalysis/PopularStocks,canonicalised,200,text/html; charset=utf-8,Popular Stocks and Indexes,"S2O Popular Stocks, Stock Picks | stock2own.com",,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/About/Features,canonicalised,200,text/html; charset=utf-8,Stock2Own Features,Stock2Own Features: tips on how to use stock2own features,,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/About/Tutorials/StockAnalyzer/General-Info,canonicalised,200,text/html; charset=utf-8,S2O Stock Analyzer Tutorials: General Info,S2O Stock Analyzer Tutorials: General Info,,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/StockAnalysis/StockComparison/,canonicalised,200,text/html; charset=utf-8,Stock Comparison,Stock Comparison: compare stocks side by side,,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/StockMarket/StockBrokers,canonicalised,200,text/html; charset=utf-8,Stock Market: Best Online Stock Brokers,Best Online Stock Brokers | Stock2Own.com,,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/About/Tutorials/S2O/Features,canonicalised,200,text/html; charset=utf-8,Stock2Own Tutorials: Basic Features,Stock2Own Tutorials: Basic S2O Features.,,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/InvestingForum,canonicalised,200,text/html; charset=utf-8,S2O Investing Community,"Stock2Own Investing Forum: Stock Research, trading techniques and instruments.",,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/Investor/Register,canonicalised,200,text/html; charset=utf-8,Create a new Stock2Own Account,"S2O Registration: Watch Lists, stock charts, stock screeners",,http://www.stock2own.com/,allowed,,,
http://www.stock2own.com/,moved permanently,301,text/html; charset=UTF-8,,,,,allowed,https://www.stock2own.com/,,
https://www.stock2own.com/About/MobileApps,canonicalised,200,text/html; charset=utf-8,S2O Mobile Apps,"Stock2Own: S2O Mobile Apps for iPhone, iPad and Android",,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/InvestingForum/RecentPosts,canonicalised,200,text/html; charset=utf-8,Recent Posts,"S2O Investing Community: stock analysis, investing ideas.",,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/StockScreener/AIScreener/,canonicalised,200,text/html; charset=utf-8,S2O Stock AI Screener,S2O AI Screener: technical analysis performed by AI,,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/About/Products,canonicalised,200,text/html; charset=utf-8,Stock2Own Products & Services,"Stock2Own Products: Stock Analyzer, Stock Screener and more",,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/About/ContactS2O,canonicalised,200,text/html; charset=utf-8,Contact S2O,Stock2Own.com: Contact S2O,,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/About/Tutorials/StockScreener/Features,canonicalised,200,text/html; charset=utf-8,Stock Screener Tutorials: Basic Features,Stock2Own Tutorials: Basic S2O Stock Screener Features.,,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/InvestingForum/Search,canonicalised,200,text/html; charset=utf-8,Investing Forum Search,"S2O Investing Community Search: rule #1 stock picks, investing, etfs, options, indexes, investing ideas, market analysis.",,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/About/Testimonials,canonicalised,200,text/html; charset=utf-8,Testimonials,"Stock2Own.com: Testimonials. S2O - stock picks and analysis, rule #1 stocks, value investing",,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/About/Tutorials/S2O/Watch-Lists,canonicalised,200,text/html; charset=utf-8,Stock2Own Tutorials: Watch Lists,Stock2Own Tutorials: Watch Lists.,,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/About,canonicalised,200,text/html; charset=utf-8,About Stock2Own.com,About stock2own.com: complete stock analysis in seconds,,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/StockMarket/Theory/FundamentalAnalysis/Value-Price,canonicalised,200,text/html; charset=utf-8,Fundamental Analysis: Value Price,Fundamental Analysis. Value Price or fundamental value or Intrinsic Value or sticker price.,,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/About/SiteMap,canonicalised,200,text/html; charset=utf-8,Site Map,"Stock2Own: Site Map. Stock Picks, Stock Charts, Popular Stocks, Stock Screener, Stock Analyzer.",,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/StockMarket/Books,canonicalised,200,text/html; charset=utf-8,Stock Market: Books,Stock Market Books | Stock2Own.com,,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/StockMarket/Gauges/SPDR-Sectors,canonicalised,200,text/html; charset=utf-8,Stock Market Gauges: SPDR ETFs,Stock Market Gauges: Sector SPDR ETFs,,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/StockMarket/News/Benzinga,canonicalised,200,text/html; charset=utf-8,Stock Market: News,"Stock Market News: MarketWatch, Wall Street Journal, Benzinga and more | stock2own.com",,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/StockMarket/News/WSJ_Markets,canonicalised,200,text/html; charset=utf-8,Stock Market: News,"Stock Market News: MarketWatch, Wall Street Journal, Benzinga and more | stock2own.com",,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/StockMarket/Gauges/Indexes,canonicalised,200,text/html; charset=utf-8,Stock Market Gauges: Major Market Index ETFs,Stock Market Gauges: market index ETFs,,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/StockMarket/News/MarketWatch,canonicalised,200,text/html; charset=utf-8,Stock Market: News,"Stock Market News: MarketWatch, Wall Street Journal, Benzinga and more | stock2own.com",,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/StockMarket,canonicalised,200,text/html; charset=utf-8,Stock Market,"Stock Market Gauge, Stock Market Calendar, News and Theory on Stock2Own.com.",,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/StockMarket/News/WSJ_World,canonicalised,200,text/html; charset=utf-8,Stock Market: News,"Stock Market News: MarketWatch, Wall Street Journal, Benzinga and more | stock2own.com",,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/StockMarket/,canonicalised,200,text/html; charset=utf-8,Stock Market,"Stock Market Gauge, Stock Market Calendar, News and Theory on Stock2Own.com.",,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/StockMarket/News/WSJ_USBusiness,canonicalised,200,text/html; charset=utf-8,Stock Market: News,"Stock Market News: MarketWatch, Wall Street Journal, Benzinga and more | stock2own.com",,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/StockMarket/Gauges/Advance-Decline-Line,canonicalised,200,text/html; charset=utf-8,Stock Market Gauges: AD Lines,Stock Market Gauges - Advance-Decline Lines - major market trend indicator,,http://www.stock2own.com/,allowed,,,
https://www.stock2own.com/StockScreener/,canonicalised,200,text/html; charset=utf-8,S2O Stock Screener,S2O Stock Screener: stock picks in seconds | stock2own.com,,http://www.stock2own.com/,allowed,,,
